18	4405	98.82 	0.20219407	3776	99.92 	0.232741617
17	4397	98.82 	0.201826861	4293	99.65 	0.264607988
16	4461	98.70 	0.204764528	4621	99.52 	0.284824951
15	4574	98.69 	0.209951345	4912	99.39 	0.302761341
14	4695	98.70 	0.21550537	5204	99.10 	0.320759369
13	4864	98.62 	0.223262646	5546	98.29 	0.34183925
12	5088	98.60 	0.233544478	5916	98.16 	0.36464497
11	5231	98.60 	0.240108326	6417	97.83 	0.395525148
10	5514	98.48 	0.25309832	6908	97.45 	0.425788955
9	5671	98.43 	0.260304783	7504	96.74 	0.462524655
8	6072	98.44 	0.278711099	8359	95.98 	0.515224359
7	6278	98.34 	0.288166713	9493	95.22 	0.585120809
6	6718	98.08 	0.308363169	10762	94.27 	0.663338264
5	6920	98.03 	0.317635179	12028	93.52 	0.741370809
4	7675	97.75 	0.352290462	13428	92.28 	0.827662722
3	7605	97.84 	0.349077389	14889	90.79 	0.917714497
2	9507	97.17 	0.436381162	16316	88.43 	1.005670611
1	11579	94.36 	0.531488112	17182	86.17 	1.059048323
